Data;"Dolar S.U.A.-Leu moldovenesc"
16.07.2010;12.607
17.07.2010;12.607
18.07.2010;12.607
19.07.2010;12.5607
20.07.2010;12.4894
21.07.2010;12.4612
22.07.2010;12.4238
23.07.2010;12.3641
24.07.2010;12.3641
25.07.2010;12.3641
26.07.2010;12.3426
27.07.2010;12.3256
28.07.2010;12.3042
29.07.2010;12.2805
30.07.2010;12.2698
31.07.2010;12.2698
01.08.2010;12.2698
02.08.2010;12.2651
03.08.2010;12.2402
04.08.2010;12.2004
05.08.2010;12.1578
06.08.2010;12.1196
07.08.2010;12.1196
08.08.2010;12.1196
09.08.2010;12.0174
10.08.2010;11.9842
11.08.2010;11.954
12.08.2010;11.9258
13.08.2010;11.8809
14.08.2010;11.8809
15.08.2010;11.8809
16.08.2010;11.8979
17.08.2010;11.9573
18.08.2010;12.0068
19.08.2010;12.1798
20.08.2010;12.2982
21.08.2010;12.2982
22.08.2010;12.2982
23.08.2010;12.3479
24.08.2010;12.3374
25.08.2010;12.2472
26.08.2010;12.1999
27.08.2010;12.1999
28.08.2010;12.1999
29.08.2010;12.1999
30.08.2010;12.1999
31.08.2010;12.1999
01.09.2010;12.1714
02.09.2010;12.1667
03.09.2010;12.1889
04.09.2010;12.1889
05.09.2010;12.1889
06.09.2010;12.2277
07.09.2010;12.2854
08.09.2010;12.3274
09.09.2010;12.3409
10.09.2010;12.3606
11.09.2010;12.3606
12.09.2010;12.3606
13.09.2010;12.3829
14.09.2010;12.3955
15.09.2010;12.4027
16.09.2010;12.3919
17.09.2010;12.3677
18.09.2010;12.3125
19.09.2010;12.3125
20.09.2010;12.2337
21.09.2010;12.1653
22.09.2010;12.16
23.09.2010;12.1639
24.09.2010;12.1563
25.09.2010;12.1563
26.09.2010;12.1563
27.09.2010;12.1487
28.09.2010;12.1266
29.09.2010;12.0552
30.09.2010;12.0159
01.10.2010;11.9452
02.10.2010;11.9452
03.10.2010;11.9452
04.10.2010;11.921
05.10.2010;11.8885
06.10.2010;11.8359
07.10.2010;11.8031
08.10.2010;11.7674
09.10.2010;11.7674
10.10.2010;11.7674
11.10.2010;11.728
12.10.2010;11.6745
13.10.2010;11.6575
14.10.2010;11.6575
15.10.2010;11.6321
16.10.2010;11.6321
17.10.2010;11.6321
18.10.2010;11.6254
19.10.2010;11.6019
20.10.2010;11.6181
21.10.2010;11.6248
22.10.2010;11.7232
23.10.2010;11.7232
24.10.2010;11.7232
25.10.2010;11.8482
26.10.2010;11.8734
27.10.2010;11.8602
28.10.2010;11.8401
29.10.2010;11.8126
30.10.2010;11.8126
31.10.2010;11.8126
01.11.2010;11.8099
02.11.2010;11.8088
03.11.2010;11.7808
04.11.2010;11.7543
05.11.2010;11.7085
06.11.2010;11.7085
07.11.2010;11.7085
08.11.2010;11.6583
09.11.2010;11.6305
10.11.2010;11.5605
11.11.2010;11.5282
12.11.2010;11.5575
13.11.2010;11.5575
14.11.2010;11.5575
15.11.2010;11.5952
16.11.2010;11.7112
17.11.2010;11.8074
18.11.2010;11.8627
19.11.2010;11.928
20.11.2010;11.928
21.11.2010;11.928
22.11.2010;11.9549
23.11.2010;11.9477
24.11.2010;11.9004
25.11.2010;11.9165
26.11.2010;11.9993
27.11.2010;11.9993
28.11.2010;11.9993
29.11.2010;12.06
30.11.2010;12.1225
01.12.2010;12.181
02.12.2010;12.1821
03.12.2010;12.2136
04.12.2010;12.2136
05.12.2010;12.2136
06.12.2010;12.2552
07.12.2010;12.2907
08.12.2010;12.3273
09.12.2010;12.3324
10.12.2010;12.3023
11.12.2010;12.3023
12.12.2010;12.3023
13.12.2010;12.2413
14.12.2010;12.1224
15.12.2010;11.9837
16.12.2010;11.9586
17.12.2010;11.9499
18.12.2010;11.9499
19.12.2010;11.9499
20.12.2010;11.9985
21.12.2010;12.0994
22.12.2010;12.1218
23.12.2010;12.1046
24.12.2010;12.0935
25.12.2010;12.0935
26.12.2010;12.0935
27.12.2010;12.1253
28.12.2010;12.1731
29.12.2010;12.176
30.12.2010;12.1685
31.12.2010;12.1539
01.01.2011;12.1539
02.01.2011;12.1539
03.01.2011;12.1647
04.01.2011;12.1848
05.01.2011;12.1885
06.01.2011;12.2297
07.01.2011;12.2297
08.01.2011;12.2297
09.01.2011;12.2297
10.01.2011;12.2575
11.01.2011;12.2941
12.01.2011;12.3141
13.01.2011;12.3446
14.01.2011;12.3798
15.01.2011;12.3798
16.01.2011;12.3798
17.01.2011;12.4067
18.01.2011;12.3955
19.01.2011;12.3499
20.01.2011;12.2864
21.01.2011;12.2342
22.01.2011;12.2342
23.01.2011;12.2342
24.01.2011;12.1341
25.01.2011;12.0621
26.01.2011;12.1079
27.01.2011;12.1282
28.01.2011;12.0448
29.01.2011;12.0448
30.01.2011;12.0448
31.01.2011;11.9802
01.02.2011;11.992
02.02.2011;12.0133
03.02.2011;11.9842
04.02.2011;11.9605
05.02.2011;11.9605
06.02.2011;11.9605
07.02.2011;11.9002
08.02.2011;11.9191
09.02.2011;11.9627
10.02.2011;12.0123
11.02.2011;12.0268
12.02.2011;12.0268
13.02.2011;12.0268
14.02.2011;12.0431
15.02.2011;11.9745
16.02.2011;11.9926
17.02.2011;12.021
18.02.2011;12.0338
19.02.2011;12.0338
20.02.2011;12.0338
21.02.2011;12.0509
22.02.2011;12.0772
23.02.2011;12.0847
24.02.2011;12.0563
25.02.2011;12.0285
26.02.2011;12.0285
27.02.2011;12.0285
28.02.2011;11.9946
01.03.2011;11.9661
02.03.2011;11.942
03.03.2011;11.9276
04.03.2011;11.9662
05.03.2011;11.9662
06.03.2011;11.9662
07.03.2011;11.9662
08.03.2011;11.9662
09.03.2011;12.0134
10.03.2011;11.9855
11.03.2011;11.9293
12.03.2011;11.9246
13.03.2011;11.9246
14.03.2011;11.908
15.03.2011;11.9141
16.03.2011;11.9533
17.03.2011;11.9518
18.03.2011;12.0101
19.03.2011;12.0101
20.03.2011;12.0101
21.03.2011;12.0132
22.03.2011;11.9962
23.03.2011;11.9553
24.03.2011;11.938
25.03.2011;11.8985
26.03.2011;11.8985
27.03.2011;11.8985
28.03.2011;11.897
29.03.2011;11.887
30.03.2011;11.9019
31.03.2011;11.9096
01.04.2011;11.9132
02.04.2011;11.9132
03.04.2011;11.9132
04.04.2011;11.9179
05.04.2011;11.9116
06.04.2011;11.8826
07.04.2011;11.8616
08.04.2011;11.8255
09.04.2011;11.8255
10.04.2011;11.8255
11.04.2011;11.7704
12.04.2011;11.7395
13.04.2011;11.6687
14.04.2011;11.6396
15.04.2011;11.6131
16.04.2011;11.6131
17.04.2011;11.6131
18.04.2011;11.5858
19.04.2011;11.5676
20.04.2011;11.5579
21.04.2011;11.5622
22.04.2011;11.5737
23.04.2011;11.5737
24.04.2011;11.5737
25.04.2011;11.5737
26.04.2011;11.5755
27.04.2011;11.558
28.04.2011;11.5507
29.04.2011;11.5386
30.04.2011;11.5386
01.05.2011;11.5386
02.05.2011;11.5386
03.05.2011;11.5152
04.05.2011;11.4764
05.05.2011;11.4424
06.05.2011;11.4022
07.05.2011;11.4022
08.05.2011;11.4022
09.05.2011;11.4022
10.05.2011;11.3819
11.05.2011;11.4014
12.05.2011;11.4555
13.05.2011;11.5055
14.05.2011;11.5055
15.05.2011;11.5055
16.05.2011;11.5603
17.05.2011;11.6127
18.05.2011;11.6499
19.05.2011;11.7041
20.05.2011;11.7996
21.05.2011;11.7996
22.05.2011;11.7996
23.05.2011;11.8208
24.05.2011;11.7984
25.05.2011;11.7594
26.05.2011;11.7311
27.05.2011;11.7009
28.05.2011;11.7009
29.05.2011;11.7009
30.05.2011;11.6703
31.05.2011;11.6737
01.06.2011;11.6456
02.06.2011;11.6583
03.06.2011;11.656
04.06.2011;11.656
05.06.2011;11.656
06.06.2011;11.6413
07.06.2011;11.6074
08.06.2011;11.5341
09.06.2011;11.4748
10.06.2011;11.4188
11.06.2011;11.4188
12.06.2011;11.4188
13.06.2011;11.3552
14.06.2011;11.3987
15.06.2011;11.4567
16.06.2011;11.5805
17.06.2011;11.6573
18.06.2011;11.6573
19.06.2011;11.6573
20.06.2011;11.6697
21.06.2011;11.6866
22.06.2011;11.7106
23.06.2011;11.7092
24.06.2011;11.6439
25.06.2011;11.6439
26.06.2011;11.6439
27.06.2011;11.5765
28.06.2011;11.5575
29.06.2011;11.5732
30.06.2011;11.6069
01.07.2011;11.6428
02.07.2011;11.6428
03.07.2011;11.6428
04.07.2011;11.5943
05.07.2011;11.5557
06.07.2011;11.501
07.07.2011;11.4692
08.07.2011;11.4468
09.07.2011;11.4468
10.07.2011;11.4468
11.07.2011;11.4914
12.07.2011;11.5297
13.07.2011;11.5406
14.07.2011;11.6093
15.07.2011;11.6079
16.07.2011;11.6079
17.07.2011;11.6079
18.07.2011;11.6299
19.07.2011;11.6266
20.07.2011;11.6124
21.07.2011;11.6062
22.07.2011;11.5803
23.07.2011;11.5803
24.07.2011;11.5803
25.07.2011;11.5415
26.07.2011;11.5104
27.07.2011;11.4609
28.07.2011;11.4218
29.07.2011;11.4045
30.07.2011;11.4045
31.07.2011;11.4045
01.08.2011;11.395
02.08.2011;11.3934
03.08.2011;11.4018
04.08.2011;11.4095
05.08.2011;11.4197
06.08.2011;11.4197
07.08.2011;11.4197
08.08.2011;11.4251
09.08.2011;11.4362
10.08.2011;11.4208
11.08.2011;11.4155
12.08.2011;11.3933
13.08.2011;11.3933
14.08.2011;11.3933
15.08.2011;11.3968
16.08.2011;11.3669
17.08.2011;11.3612
18.08.2011;11.3516
19.08.2011;11.3432
20.08.2011;11.3375
21.08.2011;11.3375
22.08.2011;11.3399
23.08.2011;11.3478
24.08.2011;11.3531
25.08.2011;11.3444
26.08.2011;11.3359
27.08.2011;11.3359
